id,object_a,object_b,aspect,sentence,most_frequent_label
139-30,nan,a D80,nan,This single improvement is the BIGGEST reason to upgrade to a D80 or D200 as it allows for proper composition in all light and good manual focus .,worse
139-30,D200,nan,nan,This single improvement is the BIGGEST reason to upgrade to a D80 or D200 as it allows for proper composition in all light and good manual focus .,better
139-30,nan,D200,nan,This single improvement is the BIGGEST reason to upgrade to a D80 or D200 as it allows for proper composition in all light and good manual focus .,worse
139-31,A D200,nan,frame rate,"A D200 offers a smattering of nice little convenient features , but the main REAL WORLD DIFFERENCE is the faster frame rate .",better
139-31,nan,A D200,frame rate,"A D200 offers a smattering of nice little convenient features , but the main REAL WORLD DIFFERENCE is the faster frame rate .",worse
139-33,the D80,nan,nan,In every other way the D80 is just as good and it produces better images with less fuss in JPEG mode .,same
139-33,nan,the D80,nan,In every other way the D80 is just as good and it produces better images with less fuss in JPEG mode .,same
139-33,it,nan,images,In every other way the D80 is just as good and it produces better images with less fuss in JPEG mode .,better
139-33,nan,it,images,In every other way the D80 is just as good and it produces better images with less fuss in JPEG mode .,worse
139-33,it,nan,fuss,In every other way the D80 is just as good and it produces better images with less fuss in JPEG mode .,better
139-33,nan,it,fuss,In every other way the D80 is just as good and it produces better images with less fuss in JPEG mode .,worse
139-34,the D80,D200,workflow,"Since I shoot JPEG for event shooting , the D80 gives me much faster workflow than the D200 .",better
139-34,D200,the D80,workflow,"Since I shoot JPEG for event shooting , the D80 gives me much faster workflow than the D200 .",worse
139-37,That,my D200,nan,"That 's 3 times better than my D200 , which really crippled me at times due to the power it needed .",better
139-37,my D200,That,nan,"That 's 3 times better than my D200 , which really crippled me at times due to the power it needed .",worse
139-41,Larger models,nan,balance,Larger models balance a bit better .,better
139-41,nan,Larger models,balance,Larger models balance a bit better .,worse
139-42,the D80,nan,handling,"On the other hand I actually prefer the D80 handling with smaller lenses , which is what 's on my camera 80 persent of the time .",better
139-42,nan,the D80,handling,"On the other hand I actually prefer the D80 handling with smaller lenses , which is what 's on my camera 80 persent of the time .",worse
139-46,It,nan,high ISO shots,"It produces some of the best high ISO shots ever with smooth , yet detailed images .",better
139-46,nan,It,high ISO shots,"It produces some of the best high ISO shots ever with smooth , yet detailed images .",worse
139-52,the D80,Canon,sharpness,"Sharpness : Well , some `` pro '' reviews have called the D80 soft , but it seems that when I study shots online and compare mine to those from Canon I 'm getting excellent sharpness .",better
139-52,Canon,the D80,sharpness,"Sharpness : Well , some `` pro '' reviews have called the D80 soft , but it seems that when I study shots online and compare mine to those from Canon I 'm getting excellent sharpness .",worse
139-55,they,nan,softness,This is the downside of higher megapixel cameras as they show greater softness with mediocre glass .,worse
139-55,nan,they,softness,This is the downside of higher megapixel cameras as they show greater softness with mediocre glass .,better
139-57,It,lenses,nan,It happens to be one of the sharpest lenses ever built .,better
139-57,lenses,It,nan,It happens to be one of the sharpest lenses ever built .,worse
139-8,it,a D50,nan,"Nikon 's D80 was designed to be a first time DSLR to some extent , but at 999.00 it 's too expensive for many compared to a D50 for almost half the price .",worse
139-8,a D50,it,nan,"Nikon 's D80 was designed to be a first time DSLR to some extent , but at 999.00 it 's too expensive for many compared to a D50 for almost half the price .",better
139-85,It,some higher end models,weather sealing,It lacks the weather sealing of some higher end models .,worse
139-85,some higher end models,It,weather sealing,It lacks the weather sealing of some higher end models .,better
139-89,The D80,a D200,frame rate,"The D80 is a great camera for the enthusiast , a capable model for pro applications ( hindered a bit for action by a slower frame rate of 3 FPS compared to a D200 at 5 FPS or a D2H at close to 8 FPS ) .",worse
139-89,a D200,The D80,frame rate,"The D80 is a great camera for the enthusiast , a capable model for pro applications ( hindered a bit for action by a slower frame rate of 3 FPS compared to a D200 at 5 FPS or a D2H at close to 8 FPS ) .",better
139-89,The D80,a D2H,frame rate,"The D80 is a great camera for the enthusiast , a capable model for pro applications ( hindered a bit for action by a slower frame rate of 3 FPS compared to a D200 at 5 FPS or a D2H at close to 8 FPS ) .",worse
139-89,a D2H,The D80,frame rate,"The D80 is a great camera for the enthusiast , a capable model for pro applications ( hindered a bit for action by a slower frame rate of 3 FPS compared to a D200 at 5 FPS or a D2H at close to 8 FPS ) .",better
139-91,this,Nikon DSLR,nan,"For many of us , this is the best Nikon DSLR at any price and I absolutely prefer it to my now sold D200 .",better
139-91,Nikon DSLR,this,nan,"For many of us , this is the best Nikon DSLR at any price and I absolutely prefer it to my now sold D200 .",worse
139-91,it,D200,nan,"For many of us , this is the best Nikon DSLR at any price and I absolutely prefer it to my now sold D200 .",better
139-91,D200,it,nan,"For many of us , this is the best Nikon DSLR at any price and I absolutely prefer it to my now sold D200 .",worse
139-94,Canon,Nikon,the handling,"Canon makes great gear as well , but I prefer the handling of the Nikon stuff and the amazing glass .",worse
139-94,Nikon,Canon,the handling,"Canon makes great gear as well , but I prefer the handling of the Nikon stuff and the amazing glass .",better
139-94,Canon,Nikon,the amazing glass,"Canon makes great gear as well , but I prefer the handling of the Nikon stuff and the amazing glass .",worse
139-94,Nikon,Canon,the amazing glass,"Canon makes great gear as well , but I prefer the handling of the Nikon stuff and the amazing glass .",better
139-95,EVERY DSLR,EVERY DSLR,pics,But EVERY DSLR on the market takes great pics once you practice .,same
139-95,EVERY DSLR,EVERY DSLR,pics,But EVERY DSLR on the market takes great pics once you practice .,same
140-10,The unit,the D50,nan,The unit is slightly larger then the D50 and slightly smaller then the D70 .,worse
140-10,the D50,The unit,nan,The unit is slightly larger then the D50 and slightly smaller then the D70 .,better
140-10,The unit,the D70,nan,The unit is slightly larger then the D50 and slightly smaller then the D70 .,better
140-10,the D70,The unit,nan,The unit is slightly larger then the D50 and slightly smaller then the D70 .,worse
140-14,noise,its bigger brother,nan,In lowlight at ISO 1600 noise is much better then its bigger brother the D200 .,better
140-14,its bigger brother,noise,nan,In lowlight at ISO 1600 noise is much better then its bigger brother the D200 .,worse
140-16,the D50,nan,colors,"Amazingly , however , I find the D50 a tad better on colors .",better
140-16,nan,the D50,colors,"Amazingly , however , I find the D50 a tad better on colors .",worse
140-2,nan,Canon sub $ 1000 units,nan,Highly recommended over Canon sub $ 1000 units ( 400 and 350 XTi ) .,better
140-2,Canon sub $ 1000 units,nan,nan,Highly recommended over Canon sub $ 1000 units ( 400 and 350 XTi ) .,worse
140-22,nan,an F-body,nan,Not as good as an F-body but pretty darn good !,worse
140-22,an F-body,nan,nan,Not as good as an F-body but pretty darn good !,better
